date,open,high,low,close,volume
2015-01-05,2041.2,2060.9,2036.4,2043.2,330796
2015-01-06,2078.3,2099.6,2041.5,2072.4,899612
2015-01-07,2085.8,2110.5,2088.9,2091.8,1440105
2015-01-08,2102.6,2119.1,2096.1,2101.8,610760
2015-01-09,2106.3,2111.8,2080.7,2106.9,372845
2015-01-12,2027.2,2049.5,1998.6,2024.3,756909
2015-01-13,2022.2,2035.8,1992.6,2014.3,839703
2015-01-14,2042.6,2051.9,2034.3,2038.2,1012464
2015-01-15,2015.4,2029.7,2014.9,2023.2,633566
2015-01-16,2063.3,2086.7,2051.2,2057.2,998787
2015-01-19,2033.3,2043.7,2009.8,2039.8,1405816
2015-01-20,2015.7,2043.4,2012.6,2021.9,911080
2015-01-21,2024.7,2043.2,2003.6,2024.8,551609
2015-01-22,2010.6,2033.9,1982.8,2007.4,1307372
2015-01-23,2033.6,2035.0,2014.7,2031.2,1485384
2015-01-26,2024.0,2043.9,2029.4,2030.8,1290869
2015-01-27,2029.7,2038.3,2021.4,2033.2,887866
2015-01-28,2049.5,2055.1,2039.3,2049.0,616914
2015-01-29,2090.7,2111.4,2079.6,2091.1,605792
2015-01-30,2077.3,2099.1,2062.9,2081.8,755798
2015-02-02,2128.1,2128.0,2091.2,2120.5,985629
2015-02-03,2133.4,2141.5,2116.1,2133.4,1442694
2015-02-04,2133.2,2158.2,2122.2,2132.1,1122524
2015-02-05,2099.1,2105.7,2067.2,2091.2,345939
2015-02-06,2080.3,2101.0,2060.0,2080.9,605740
2015-02-09,2060.0,2057.3,2030.2,2056.2,1384931
2015-02-10,2035.3,2063.8,2003.4,2033.4,1241823
2015-02-11,1968.0,1982.3,1956.8,1964.2,328881
2015-02-12,1955.9,1965.1,1937.9,1954.8,336754
2015-02-13,1916.2,1924.2,1918.2,1922.2,607683
2015-02-16,1883.0,1892.6,1853.0,1880.5,1018341
2015-02-17,1874.3,1876.4,1842.9,1868.6,966132
2015-02-18,1863.4,1885.2,1860.9,1868.7,580089
2015-02-19,1838.7,1848.8,1815.2,1836.6,1292761
2015-02-20,1825.1,1833.4,1812.1,1821.8,927805
